Game ID,Player,Leader,Starting Position,Score,Ending Position
927,@BenitoMax ,Baron,3,41.6,1
927,@Cabbage Cat ,Hundro,4,14.7,2
927,@Yooliss ,Yuna,1,-15.6,3
927,@Priceless 🥷 ,Helena,2,-40.7,4
926,@Franz ,Rhombur,1,38.2,1
926,@Maunoobxx ,Yuna,2,32.7,2
926,@Thuney ,Beast,3,-36.0,3
926,@chernyadev ,Baron,4,-34.9,4
925,@e_jasmins ,Baron,1,70.9,1
925,@krompl ,Tessia,4,-13.1,2
925,@killer ,Leto,2,-15.5,3
925,@ichaplin ,Hundro,3,-42.3,4
924,@Teller ,Hundro,4,48.8,1
924,@BenitoMax ,Leto,3,18.1,2
924,@Cabbage Cat ,Helena,2,-14.9,3
924,@Yooliss ,Memnon,1,-51.9,4
923,@nobody09 ,Ariana,1,36.5,1
923,@franc ,Hundro,2,31.6,2
923,@Londonerd ,Leto,4,-28.0,3
923,@2gonza2 ,Baron,3,-40.1,4
922,@Zelbot ,Ilban,3,27.2,1
922,@Franz ,Helena,4,5.7,2
922,@Teller ,Hundro,2,2.0,3
922,@BenitoMax ,Yuna,1,-34.8,4
921,@Ideel ,Helena,2,34.8,1
921,@krompl ,Ecaz,3,0.5,2
921,@ichaplin ,Tessia,4,6.8,3
921,@TeaMoney ,Yuna,1,-42.1,4
920,@Lonk ,Ecaz,3,53.8,1
920,@killer ,Ilesa,1,17.1,2
920,@lilgreenghouls ,Beast,4,-36.8,3
920,@Niclafurlni ,Baron,2,-34.1,4
919,@vintaya ,Ilban,4,39.0,1
919,@Teller ,Beast,1,17.7,2
919,@2gonza2 ,Tessia,3,-18.7,3
919,@e_jasmins ,Helena,2,-38.0,4
918,@Zelbot ,Hundro,2,35.9,1
918,@Vasya ,Baron,1,15.7,2
918,@VIVAFRESHAS ,Ariana,3,-15.2,3
918,@BenitoMax ,Ilban,4,-36.5,4
917,@Benten ,Hundro,1,40.9,1
917,@devzzzy ,Leto,3,-16.8,2
917,@Priceless 🥷 ,Tessia,2,8.4,3
917,@Popoulous ,Helena,4,-32.5,4
916,@Zelbot ,Helena,4,18.9,1
916,@Rezzza ,Baron,3,6.2,2
916,@KharpediemYoun's ,Hundro,2,1.1,3
916,@Martell ,Ariana,1,-26.3,4
915,@crashtest776 ,Baron,2,32.3,1
915,@Rosco ,Paul,1,28.6,2
915,@someproudly ,Hundro,3,-27.4,3
915,@0TH0N ,Helena,4,-33.5,4
914,@someproudly ,Rhombur,1,48.8,1
914,@crashtest776 ,Beast,2,4.3,2
914,@Rosco ,Ariana,3,0.6,3
914,@BenitoMax ,Leto,4,-53.7,4
913,@rybas_h3 ,Tessia,1,25.1,1
913,@Franz ,Ariana,2,-0.1,2
913,@djgod79 ,Leto,4,7.9,3
913,@rybachello ,Baron,3,-32.9,4
912,@Franz ,Rhombur,4,41.4,1
912,@dinosmaroulis ,Memnon,1,-2.0,2
912,@KharpediemYoun's ,Paul,2,17.2,3
912,@someproudly ,Ilban,3,-56.6,4
911,@Unleazer ,Beast,3,59.1,1
911,@Ruffians_17 ,Paul,1,1.6,2
911,@In Flames ,Helena,4,-36.9,3
911,@Siroz26 ,Ariana,2,-23.8,4
910,@dinosmaroulis ,Memnon,1,53.3,1
910,@ADIBOU ,Ariana,3,21.5,2
910,@Zelbot ,Rhombur,2,-20.6,3
910,@crashtest776 ,Hundro,4,-54.1,4
909,@CrazyApple ,Tessia,2,10.5,1
