Game ID,Player,Leader,Starting Position,Score,Ending Position
1182,@someproudly ,Beast,2,41.5,1
1182,@Thilina | Deadly ,Paul,3,5.9,2
1182,@airman ,Helena,4,-8.5,3
1182,@vintaya ,Rhombur,1,-38.9,4
1181,@Ideel ,Helena,4,20.6,1
1181,@MortimerSmith ,Leto,2,7.3,2
1181,@In Flames ,Beast,1,-3.7,3
1181,@djgod79 ,Ariana,3,-24.2,4
1180,@BenitoMax ,Helena,2,47.2,1
1180,@Lonk ,Paul,4,-13.4,2
1180,@lilgreenghouls ,Yuna,1,-7.6,3
1180,@Katatonic ,Hundro,3,-26.3,4
1179,@M1X ,Baron,1,65.0,1
1179,@dinosmaroulis ,Helena,4,8.7,2
1179,@darkdinner ,Yuna,3,-15.7,3
1179,@ADIBOU ,Beast,2,-57.9,4
1178,@nobody09 ,Helena,4,37.8,1
1178,@franc ,Baron,2,11.2,2
1178,@Rod ,Hundro,3,1.4,3
1178,@someproudly ,Ilban,1,-50.3,4
1177,@Thuney ,Hundro,2,20.9,1
1177,@fweak ,Beast,4,12.7,2
1177,@BenitoMax ,Tessia,3,-16.2,3
1177,@osongbio ,Ecaz,1,-17.4,4
1176,@nobody09 ,Tessia,4,51.1,1
1176,@rybas_h3 ,Baron,3,-8.9,2
1176,@Zelbot ,Hundro,1,-11.9,3
1176,@matk ,Paul,2,-30.3,4
1175,@someproudly ,Beast,1,35.4,1
1175,@fweak ,Ecaz,2,3.4,2
1175,@osongbio ,Ariana,3,9.7,3
1175,@Narballs ,Baron,4,-48.5,4
1174,@ADIBOU ,Memnon,1,39.3,1
1174,@BenitoMax ,Ariana,2,18.5,2
1174,@Lisztes ,Beast,4,-7.0,3
1174,@epsi2lon#0001 ,Leto,3,-50.8,4
1173,@rybas_h3 ,Tessia,4,18.6,1
1173,@asat0r ,Baron,2,47.4,2
1173,@Rosco ,Rhombur,1,-5.3,3
1173,@someproudly ,Helena,3,-60.7,4
1172,@Vasya ,Baron,2,45.8,1
1172,@waata ,Ilban,4,42.8,2
1172,@Lonk ,Ecaz,3,-46.9,3
1172,@lilgreenghouls ,Helena,1,-41.7,4
1171,@BenitoMax ,Baron,2,58.8,1
1171,@nobody09 ,Ariana,4,6.6,2
1171,@Zelbot ,Helena,3,-30.8,3
1171,@7thHouse ,Rhombur,1,-34.5,4
1170,@Ideel ,Rhombur,1,28.0,1
1170,@someproudly ,Ilban,3,6.0,2
1170,@Narballs ,Tessia,4,-5.5,3
1170,@2pi ,Beast,2,-28.4,4
1169,@vaggelakos13 ,Ilban,3,43.5,1
1169,@BenitoMax ,Yuna,1,27.3,2
1169,@Red Bull Baron ,Ariana,4,-26.5,3
1169,@2pi ,Helena,2,-44.3,4
1168,@Kirby ,Ilesa,2,72.9,1
1168,@hersheylim ,Rhombur,1,6.5,2
1168,@davidli642 ,Ariana,4,-38.9,3
1168,@mooshow ,Beast,3,-40.5,4
1167,@davidli642 ,Ilban,4,32.6,1
1167,@Yung Savage ,Rhombur,1,33.3,2
1167,@hersheylim ,Leto,2,-27.0,3
1167,@darkdinner ,Paul,3,-38.9,4
1166,@hersheylim ,Ilban,3,44.4,1
1166,@darkdinner ,Yuna,2,29.3,2
1166,@Yung Savage ,Helena,1,0.6,3
1166,@davidli642 ,Baron,4,-74.4,4
1165,@davidli642 ,Ariana,2,21.5,1
1165,@hersheylim ,Beast,3,9.3,2
1165,@SpiceNav ,Yuna,1,17.5,3
1165,@krompl ,Tessia,4,-48.3,4
1164,@davidli642 ,Ilban,3,16.1,1
1164,@krompl ,Ariana,1,6.6,2
1164,@2gonza2 ,Yuna,2,3.2,3
1164,@SpiceNav ,Baron,4,-25.9,4
1163,@hersheylim ,Baron,3,28.2,1
1163,@Lynx ,Ilban,4,0.2,2
1163,@Haros ,Ariana,1,18.2,3
1163,@TheWalkingDunks ,Yuna,2,-46.6,4
1162,@davidli642 ,Hundro,1,22.8,1
1162,@krompl ,Baron,2,17.5,2
1162,@Thilina | Deadly ,Tessia,4,0.6,3
1162,@Yung Savage ,Rhombur,3,-40.9,4
1160,@hersheylim ,Baron,1,24.2,1
1160,@TheWalkingDunks ,Beast,4,12.2,2
1160,@friachi ,Ilban,2,-8.6,3
1160,@Priceless 🥷 ,Tessia,3,-27.8,4
1159,@Sir Jon ,Helena,1,41.4,1
1159,@Kurumi ,Hundro,3,8.9,2
1159,@Marcinek ,Paul,2,-17.9,3
1159,@Kazixxx ,Ecaz,4,-32.4,4
1158,@davidli642 ,Baron,2,18.9,1
1158,@Ajokli ,Ecaz,3,17.2,2
1158,@BenitoMax ,Helena,4,3.0,3
1158,@DjPonyboots ,Ariana,1,-39.1,4
1157,@TheWalkingDunks ,Beast,4,64.4,1
1157,@hersheylim ,Memnon,1,0.3,2
1157,@Thilina | Deadly ,Tessia,2,-28.5,3
1157,@Renatus ,Ecaz,3,-36.1,4
1156,@Thuney ,Beast,2,17.7,1
1156,@Sweetsale90 ,Yuna,1,32.5,2
1156,@Sir Jon ,Leto,3,-30.7,3
1156,@SmashCaffe ,Hundro,4,-19.5,4
1155,@Kurumi ,Hundro,2,52.3,1
1155,@Yung Savage ,Helena,4,4.3,2
1155,@Kazixxx ,Paul,1,1.5,3
1155,@Marcinek ,Beast,3,-58.1,4
1154,@davidli642 ,Leto,2,44.1,1
1154,@Lonk ,Ariana,3,1.0,2
1154,@Ideel ,Beast,4,-19.7,3
1154,@lilgreenghouls ,Ecaz,1,-25.4,4
1153,@Thilina | Deadly ,Paul,3,36.4,1
1153,@IASC ,Hundro,2,-0.7,2
1153,@2gonza2 ,Baron,4,-7.2,3
1153,@Priceless 🥷 ,Beast,1,-28.5,4
1152,@Lynx ,Yuna,2,34.4,1
1152,@Renatus ,Ilesa,1,25.3,2
1152,@pan Jan ,Beast,3,15.5,3
1152,@krompl ,Ariana,4,-75.2,4
1151,@Thuney ,Ilesa,2,23.8,1
1151,@kamran.rustamli ,Paul,1,10.3,2
1151,@vintaya ,Rhombur,3,-4.7,3
1151,@Katatonic ,Baron,4,-29.4,4
1150,@davidli642 ,Baron,3,22.2,1
1150,@DjPonyboots ,Beast,4,22.6,2
1150,@0TH0N ,Helena,2,-0.7,3
1150,@In Flames ,Hundro,1,-44.1,4
1149,@kamran.rustamli ,Ilban,2,42.1,1
1149,@VIVAFRESHAS ,Yuna,1,6.4,2
1149,@Rosco ,Rhombur,3,-14.7,3
1149,@Sweetsale90 ,Leto,4,-33.8,4
1148,@Renatus ,Yuna,1,61.7,1
1148,@crashtest776 ,Ilban,4,-9.2,2
1148,@rybachello ,Hundro,2,0.0,3
1148,@0TH0N ,Ariana,3,-52.5,4
1147,@Thuney ,Baron,4,21.4,1
1147,@Niclafurlni ,Helena,2,34.7,2
1147,@2gonza2 ,Ilban,3,-9.6,3
1147,"@Arkadiusz  ""Archie"" Serowiecki ",Ariana,1,-46.6,4
1146,@davidli642 ,Ilban,4,32.1,1
1146,@raimondc ,Baron,3,27.8,2
1146,@Mysterium ,Ecaz,2,-20.8,3
1146,@vintaya ,Ariana,1,-39.1,4
1145,@Lonk ,Rhombur,4,30.3,1
1145,@crashtest776 ,Baron,1,24.0,2
1145,@dinosmaroulis ,Paul,3,-15.5,3
1145,@lilgreenghouls ,Ariana,2,-38.8,4
1144,@davidli642 ,Baron,4,20.6,1
1144,@Priceless 🥷 ,Leto,1,32.3,2
1144,@KharpediemYoun's ,Yuna,3,1.2,3
1144,@Franklino ,Ariana,2,-54.1,4
1143,@Thilina | Deadly ,Yuna,2,53.9,1
1143,@Sweetsale90 ,Leto,1,43.7,2
1143,@Mysterium ,Beast,3,-25.9,3
1143,@davidli642 ,Baron,4,-71.7,4
1142,@Sir Jon ,Ecaz,4,42.1,1
1142,@vintaya ,Baron,3,21.5,2
1142,@friachi ,Beast,2,-1.8,3
1142,@vaggelakos13 ,Ilesa,1,-61.8,4
1141,@SUPPORTAI ,Ilesa,1,39.0,1
1141,@Zelbot ,Hundro,3,14.6,2
1141,@someproudly ,Ariana,4,-24.5,3
1141,@Ruffians_17 ,Rhombur,2,-29.1,4
1140,@vintaya ,Baron,4,64.9,1
1140,@ADIBOU ,Paul,1,3.7,2
1140,@Sir Jon ,Ariana,2,-26.0,3
1140,@renppa ,Leto,3,-42.6,4
1139,@nobody09 ,Ariana,1,30.1,1
1139,@osongbio ,Baron,4,35.9,2
1139,@vaggelakos13 ,Rhombur,3,-44.8,3
1139,@Watson ,Ecaz,2,-21.2,4
1138,@chernyadev ,Ilban,4,54.9,1
1138,@maxcobain ,Beast,3,-7.4,2
1138,@Meynar ,Helena,2,-4.0,3
1138,@friachi ,Memnon,1,-43.5,4
1137,@Lonk ,Yuna,2,36.0,1
1137,@fweak ,Ilban,4,33.6,2
1137,@someproudly ,Paul,3,-22.0,3
1137,@lilgreenghouls ,Beast,1,-47.7,4
1136,@MMB ,Leto,1,61.7,1
1136,@devzzzy ,Tessia,2,3.0,2
1136,@osongbio ,Ilesa,3,14.2,3
1136,@vaggelakos13 ,Rhombur,4,-79.0,4
1135,@nobody09 ,Tessia,2,35.1,1
1135,@Priceless 🥷 ,Ilban,3,34.8,2
1135,@crashtest776 ,Helena,4,-44.7,3
1135,@Pirat3king666 ,Rhombur,1,-25.1,4
1134,@Lonk ,Yuna,1,43.8,1
1134,@Ideel ,Hundro,2,4.9,2
1134,@lilgreenghouls ,Ilban,3,-18.9,3
1134,@In Flames ,Helena,4,-29.7,4
1133,@Zelbot ,Hundro,2,46.6,1
1133,@franc ,Tessia,3,6.3,2
1133,@rybachello ,Beast,1,14.6,3
1133,@Yung Savage ,Ecaz,4,-67.5,4
1132,@vaggelakos13 ,Tessia,2,18.6,1
1132,@derhackerkai ,Ariana,1,26.3,2
1132,@BenitoMax ,Baron,3,-5.4,3
1132,@vintaya ,Beast,4,-39.5,4
1131,@Yung Savage ,Ariana,2,31.9,1
1131,@franc ,Yuna,1,5.5,2
1131,@Zelbot ,Rhombur,4,-22.9,3
1131,@SmashCaffe ,Baron,3,-14.5,4
1130,@someproudly ,Hundro,3,23.1,1
1130,@0TH0N ,Leto,1,19.4,2
1130,@martintins ,Tessia,2,-22.6,3
1130,@osongbio ,Ilesa,4,-19.9,4
1129,@Zelbot ,Helena,2,48.6,1
1129,@derhackerkai ,Ariana,1,36.6,2
1129,@IFreeMan ,Baron,3,-37.6,3
1129,@Rosco ,Leto,4,-47.7,4
1128,@rybas_h3 ,Ilban,4,13.5,1
1128,@bonda ,Tessia,2,25.1,2
1128,@0TH0N ,Leto,3,-15.0,3
1128,@osongbio ,Yuna,1,-23.6,4
1127,@someproudly ,Helena,2,34.9,1
1127,@Narballs ,Hundro,3,26.7,2
1127,@vintaya ,Yuna,1,-3.7,3
1127,@Zelbot ,Ilban,4,-57.9,4
1126,@Woerdistan ,Memnon,3,51.4,1
1126,@ADIBOU ,Hundro,2,17.1,2
1126,@crashtest776 ,Ariana,4,-31.6,3
1126,@0TH0N ,Tessia,1,-37.0,4
1125,@Zelbot ,Ariana,1,33.8,1
1125,@0TH0N ,Rhombur,3,10.3,2
1125,@Ruffians_17 ,Leto,4,-22.3,3
1125,@Pirat3king666 ,Paul,2,-21.8,4
1124,@darkdinner ,Tessia,3,73.5,1
1124,@someproudly ,Beast,2,32.1,2
1124,@CrazyApple ,Helena,4,-45.6,3
1124,@davidli642 ,Hundro,1,-60.0,4
1123,@Pooky ,Hundro,2,29.6,1
1123,@davidli642 ,Baron,3,-7.2,2
1123,@darkdinner ,Paul,4,0.1,3
1123,@Lfchezz ,Helena,1,-22.5,4
1122,@davidli642 ,Baron,3,20.3,1
1122,@hersheylim ,Leto,1,7.4,2
1122,@Maunoobxx ,Tessia,4,-12.7,3
1122,@Pirat3king666 ,Yuna,2,-14.9,4
1121,@justinbyun ,Beast,4,12.0,1
1121,@hersheylim ,Rhombur,2,9.8,2
1121,@djgod79 ,Helena,1,12.1,3
1121,@TheWalkingDunks ,Leto,3,-34.0,4
1120,@davidli642 ,Baron,2,13.4,1
1120,@Maunoobxx ,Rhombur,1,7.8,2
1120,@Pirat3king666 ,Ariana,3,7.4,3
1120,@Priceless 🥷 ,Paul,4,-28.6,4
1119,@Marcinek ,Paul,3,39.0,1
1119,@Sir Jon ,Baron,2,4.1,2
1119,@Kurumi ,Leto,1,-21.3,3
1119,@Pirat3king666 ,Helena,4,-21.8,4
1118,@davidli642 ,Yuna,1,17.0,1
1118,@Priceless 🥷 ,Baron,3,45.9,2
1118,@vintaya ,Beast,2,-11.7,3
1118,@Narballs ,Tessia,4,-51.3,4
1117,@lilgreenghouls ,Beast,2,63.8,1
